Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
electricity (BTU),6.3106E+13,6.38254E+13,6.99367E+13,6.49338E+13,6.48739E+13,6.49369E+13,6.56207E+13,6.62872E+13,6.69273E+13,6.75348E+13,6.81424E+13,6.87693E+13,6.94094E+13,7.00759E+13,7.07587E+13,7.14242E+13,7.20297E+13,7.25936E+13,7.31047E+13,7.35913E+13,7.40516E+13,7.44753E+13,7.48593E+13,7.52647E+13,7.56193E+13,7.60064E+13,7.63661E+13,7.67552E+13,7.70966E+13,7.74766E+13,7.78454E+13,7.82437E+13,7.86105E+13,
coal (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
natural gas (BTU),1.2512E+14,1.31005E+14,1.3544E+14,1.29143E+14,1.26976E+14,1.25231E+14,1.2552E+14,1.2571E+14,1.25939E+14,1.26059E+14,1.26181E+14,1.26264E+14,1.26307E+14,1.2672E+14,1.27168E+14,1.27618E+14,1.28115E+14,1.28619E+14,1.291E+14,1.29573E+14,1.30019E+14,1.30453E+14,1.30878E+14,1.31385E+14,1.31964E+14,1.32593E+14,1.33276E+14,1.34045E+14,1.3484E+14,1.35647E+14,1.36556E+14,1.3749E+14,1.38456E+14,
petroleum diesel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
biomass (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LPG propane or butane (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
